question,answer
혹시 인천 너무 어려워요,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
하모니카 강사 추천해줘,하모니카 강습은 지역 문화센터나 유튜브 강의를 먼저 찾아보세요!
요즘 우쿨렐레 왜 하는 거야?,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
원래 태권도 공부중이야ㅠㅠ,흥미롭네요! 더 자세히 이야기해봐요.
오늘도 수학 쉬워 진짜,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
진짜 서예 공부중이야 진짜,정말요! 더 이야기해주세요 😊
어떻게 걱정돼,걱정을 글로 써보면 정리하는 데 도움이 돼요.
오늘도 농구 해봤어ㅠㅠ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
간호사 좋아해,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
유화 어떻게 시작해,유화을(를) 시작하려면 기초 강습을 먼저 들어보는 게 좋아요!
원래 축구 진짜 재미있어?,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
유화 강사 추천해줘,유화 강습은 지역 문화센터나 유튜브 강의를 먼저 찾아보세요!
나 불고기에 도전하고 싶어요,흥미롭네요! 더 자세히 이야기해봐요.
혹시 햄버거 포기했어 정말,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
갑자기 등산 해봤어ㅠㅠ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
갑자기 수채화 좋아해ㅠㅠ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
오늘도 마케터 너무 어려워,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
요즘 경제 끝냈어?,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
나 서울 포기했어ㅠㅠ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
갑자기 컴퓨터에 도전하고 싶어 정말,흥미롭네요! 더 자세히 이야기해봐요.
오늘도 서울 재미있어?,함께 이야기해봐요! 어떤 부분이 궁금하세요?
진짜 인천 배우고 싶어?,좋은 도전이에요! 최선을 다해보세요. 응원해요!
진짜 잘했어,감사해요! 그 말이 정말 힘이 돼요!
나 파스타에 도전하고 싶어?,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
오늘도 한국무용에 대해 알려줘ㅠㅠ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
요즘 지리 포기했어ㅎㅎ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
오늘도 짬뽕 진짜 재미있어,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
왜 저녁 뭐 먹을까,삼겹살이나 치킨은 어때요? 기분 좋아질 것 같아요!
수원 언제 가면 좋아,수원은(는) 여행하기 좋은 계절이 따로 있어요. 검색해서 미리 확인해보세요!
진짜 유도 해봤어ㅠㅠ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
내일 좋아,좋은 기운이 느껴지네요! 오늘 하루도 행복하게 보내세요!
진짜 하모니카 재미있어ㅎㅎ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
우쿨렐레 하루에 얼마나 연습해야 해,우쿨렐레은(는) 매일 30분씩 꾸준히 연습하는 게 효과적이에요!
혹시 검사 추천해줘,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
요즘 어부 잘 하고 싶어 정말,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
오늘도 기타 배우고 싶어 진짜,좋은 도전이에요! 최선을 다해보세요. 응원해요!
원래 요가 좋아해,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
나 스테이크 좋아해ㅠㅠ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
샌프란시스코 날씨 어때,샌프란시스코의 날씨는 계절마다 달라서 여행 전에 미리 확인하세요!
혹시 바르셀로나 시작했어ㅎㅎ,함께 이야기해봐요! 어떤 부분이 궁금하세요?
